"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0100000US","United States","334922499","*****","270163129","1718","192214378","30948","39896127","46712","1698432","9057","19678814","22770","566450","5758","1868910","23972","14240018","64004","3271706","29527","10968312","66971","64759370","1547","11928498","93774","1023420","13053","1397322","21328","258469","6723","65067","3167","22015175","69970","28071419","95965","25414971","114543","2656448","34229",
"0400000US01","Alabama","5086768","*****","4802633","217","3224860","2242","1302911","3566","13274","837","73353","1346","2249","883","17853","2019","168133","3597","30415","1841","137718","3672","284135","217","59400","2926","8151","1273","10283","1531","1082","368","1275","875","101518","4231","102426","4027","89261","3867","13165","1430",
"0400000US02","Alaska","735706","*****","681903","117","424584","1062","21172","1259","97047","1837","46719","1310","11283","501","5439","956","75659","2873","7975","1014","67684","2646","53803","117","13594","1290","899","333","2529","521","704","298","205","180","11641","1245","24231","1343","15229","1206","9002","974",
"0400000US04","Arizona","7378838","*****","5065032","*****","3879594","3371","322321","4034","237195","2449","256161","3027","12507","824","33946","1972","323308","6163","59111","2880","264197","5524","2313806","*****","474285","9946","17242","1672","56944","3207","7858","937","1887","534","636913","11316","1118677","13468","1028595","14400","90082","4414",
"0400000US05","Arkansas","3049391","*****","2773820","225","2055048","5402","446603","2397","10473","693","48748","1432","12184","556","9042","1115","191722","5641","88533","5472","103189","2863","275571","225","53548","3210","2070","514","6563","1091","938","260","75","77","88916","3535","123461","3806","112261","3623","11200","1256",
"0400000US06","California","39287377","*****","23508414","*****","13267442","9247","2040095","9332","102530","2445","6007197","10606","131885","2308","241084","8172","1718181","17174","302077","7498","1416104","14340","15778963","*****","2337311","25336","94421","3622","396127","9290","93363","3595","16425","1563","7022699","36609","5818617","35801","5232048","36030","586569","12368",
"0400000US08","Colorado","5862189","*****","4541252","*****","3797912","3849","224141","3284","21296","1049","188583","2631","7705","681","31477","2250","270138","5166","70039","3491","200099","4249","1320937","*****","335848","7063","13268","1387","40320","2804","4114","591","1182","371","323115","7083","603090","7038","529298","7595","73792","3451",
"0400000US09","Connecticut","3624508","*****","2961997","*****","2242719","3349","356149","3231","3158","388","172094","1740","932","363","31193","2788","155752","4358","53134","3070","102618","3025","662511","*****","118579","4568","28016","2138","8420","1203","2466","572","874","420","248171","6205","255985","5999","215047","6375","40938","2690",
"0400000US10","Delaware","1021191","*****","908356","*****","593492","1370","218269","1861","1237","230","43639","737","217","82","5164","1126","46338","2336","9778","1207","36560","1946","112835","*****","18329","1768","5561","926","2775","1082","109","76","141","129","42081","2469","43839","2447","39482","2379","4357","907",
"0400000US11","District of Columbia","681294","*****","600142","*****","248392","1012","283502","1895","677","175","29294","582","261","89","4743","1112","33273","1984","6008","1040","27265","1824","81152","*****","9658","975","3495","788","1851","582","454","216","75","68","33241","2301","32378","2098","26921","1965","5457","839",
"0400000US12","Florida","22416077","*****","16269916","*****","11302092","7858","3279677","10589","21329","875","642245","3787","11294","752","155591","5935","857688","13606","283126","7354","574562","10873","6146161","*****","1226922","18884","103200","4895","55959","3660","14658","1543","1922","523","1261363","15639","3482137","22215","3293061","23616","189076","6226",
"0400000US13","Georgia","10940407","*****","9735791","548","5373950","4565","3362270","7885","9940","800","491422","2787","5904","710","63369","3832","428936","9182","80119","4143","348817","8292","1204616","548","200183","6349","38844","2911","34607","2736","3966","749","1630","697","440923","9554","484463","10221","434111","9391","50352","3608",
"0400000US15","Hawaii","1445235","*****","1301644","*****","302359","1092","25507","819","1532","297","525952","4270","137592","1806","5454","802","303248","5068","7061","920","296187","4797","143591","*****","17011","1140","1813","467","2130","473","7849","797","8109","1016","19275","1273","87404","1600","23525","1344","63879","1874",
"0400000US16","Idaho","1934262","*****","1670327","*****","1519424","2699","13888","616","13715","632","25914","944","2883","325","12443","1612","82060","2554","26308","2107","55752","1347","263935","*****","60483","2930","1049","292","8623","1173","518","213","350","369","86768","3601","106144","3689","92448","3787","13696","1343",
"0400000US17","Illinois","12694798","*****","10307749","285","7370665","3871","1693169","5997","9555","769","754004","3408","2963","367","47368","2825","430025","7472","95980","3622","334045","6466","2387049","283","372315","8633","30064","2458","71535","3900","8003","906","2339","633","951801","12512","950992","12512","869520","12179","81472","3552",
"0400000US18","Indiana","6851073","*****","6260725","246","5164183","3265","622085","4295","4317","443","178579","2339","2171","283","29827","2414","259563","5810","48268","2817","211295","5023","590348","246","119656","4004","8746","1302","17440","2064","1555","432","295","180","202256","5482","240400","5801","213137","5315","27263","2585",
"0400000US19","Iowa","3210507","*****","2976801","145","2642646","2135","121705","2069","5239","371","79174","1418","5703","350","9294","1095","113040","3276","26633","1816","86407","2474","233706","140","58952","2783","2815","545","6042","942","769","265","72","72","67267","3023","97789","3299","85560","3115","12229","1138",
"0400000US20","Kansas","2947197","*****","2547179","114","2143334","2107","151797","2160","11797","647","85432","1336","2506","466","11992","1384","140321","3147","23753","1643","116568","2604","400018","110","97049","3396","5094","808","11334","1468","1492","496","377","229","112195","3541","172477","4417","149862","4203","22615","1859",
"0400000US21","Kentucky","4534824","*****","4308080","424","3698087","2522","342570","3002","3746","431","72372","1635","3225","360","13394","1715","174686","3971","30902","2160","143784","3401","226744","427","47267","2423","4258","769","5144","1082","883","262","326","162","62368","2941","106498","3219","93841","3109","12657","1416",
"0400000US22","Louisiana","4611961","*****","4279245","268","2570539","3449","1407844","5177","18291","864","78910","1396","2763","916","23463","2536","177435","6190","38924","2806","138511","5116","332716","268","55313","2827","10007","1264","10078","1662","1142","445","304","165","92137","4359","163735","4483","146796","4592","16939","1693",
"0400000US23","Maine","1387817","*****","1357551","*****","1247805","2437","24846","1011","4746","287","15854","716","355","74","5054","847","58891","2768","25297","2233","33594","1330","30266","*****","8083","700","581","160","1085","313","152","100","22","28","5507","667","14836","853","12294","842","2542","396",
"0400000US24","Maryland","6206011","*****","5431065","*****","2890956","3348","1796433","5732","6943","552","406030","2996","2074","304","41380","2677","287249","6846","55906","3488","231343","5276","774946","*****","97948","4370","25699","2453","18793","2028","2550","574","634","255","388310","7648","241012","5633","205759","5274","35253","2482",
"0400000US25","Massachusetts","7044056","*****","6107203","*****","4691391","6188","450251","4635","5405","491","510868","3104","1666","365","87676","4856","359946","6812","169867","5341","190079","4464","936853","*****","143883","5201","31679","2688","11622","1765","3613","691","623","280","324036","6498","421397","8064","351427","8013","69970","3948",
"0400000US26","Michigan","10077761","*****","9485716","47","7291631","4818","1321347","6026","30921","1116","343096","2765","2554","350","45693","2932","450474","7519","111698","4151","338776","6421","592045","30","139874","3917","15892","1367","15008","1584","2321","602","478","257","148879","4557","269593","5053","233300","4887","36293","2004",
"0400000US27","Minnesota","5739445","*****","5373614","83","4355373","2842","398881","4406","40904","1061","292015","2210","2184","315","27918","2565","256339","5569","56106","2295","200233","5071","365831","77","69395","2946","3931","690","10720","1160","1497","354","322","147","135954","3961","144012","3622","120824","3406","23188","1927",
"0400000US28","Mississippi","2946779","*****","2836823","670","1626438","1473","1070561","3584","11402","725","29512","1102","1110","460","10300","1478","87500","3722","13057","1330","74443","3393","109956","669","18078","1597","2288","523","2711","922","395","188","278","153","44993","2423","41213","2032","36531","2186","4682","699",
"0400000US29","Missouri","6191814","*****","5867435","135","4723665","4047","673780","3685","10568","514","130842","1827","8422","526","24938","1736","295220","5546","88912","3833","206308","3919","324379","126","75477","2948","5754","772","7026","1026","1343","425","514","225","89649","4480","144616","4060","124043","3828","20573","1471",
"0400000US30","Montana","1116875","*****","1065943","159","933610","1948","4532","377","59723","1056","8812","562","453","124","5913","1243","52900","1752","13704","1283","39196","1268","50932","159","15499","1000","526","353","2635","417","307","120","82","105","8771","918","23112","1268","18125","1143","4987","672",
"0400000US31","Nebraska","1978707","*****","1726684","41","1489928","1771","90861","1610","11301","583","50564","1079","878","220","7093","967","76059","2240","16261","1323","59798","1926","252023","34","50884","2710","3270","855","9317","1193","433","189","165","93","84593","3620","103361","3986","90151","3376","13210","1537",
"0400000US32","Nevada","3184612","*****","2241043","*****","1426245","2721","285857","3238","18446","868","278694","2969","21438","750","20449","1879","189914","5447","35095","2768","154819","4557","943569","*****","160391","5562","12211","1395","25390","2756","6661","999","1959","572","377671","7474","359286","7921","320600","7908","38686","2537",
"0400000US33","New Hampshire","1394868","*****","1329485","*****","1212424","1805","18704","1110","951","198","35738","1007","276","161","6089","816","55303","2264","20521","1665","34782","1439","65383","*****","13873","1464","1634","479","1009","323","134","85","45","35","14100","1632","34588","1714","30200","1656","4388","755",
"0400000US34","New Jersey","9343809","*****","7244849","*****","4759979","4043","1136658","4512","6569","552","938728","2839","1939","311","74315","4117","326661","5856","107338","3816","219323","4978","2098960","*****","283707","7651","57403","3219","46166","3125","8179","950","726","289","872456","11057","830323","11703","757410","11535","72913","4005",
